# L=10, T=4.0 
# E      M        E^2        M^2
-54.32    -0.42     3207.68     324.2
-56.6    -1.16     3515.68     413.68
-57.84    1.52     3619.84     452.64
-56.44    1.08     3494.88     463.2
-55.48    1.68     3335.84     457.76
-55.16    2.44     3309.28     375.84
-53.08    1.4     3028.64     353.52
-56.96    -0.4     3529.28     388.24
-55.56    -0.6     3295.2     348.24
-55.36    0.78     3276.8     331.08
-59.64    -0.22     3872.16     512.52
-51.88    1.54     2940.96     355.16
-53.56    -0.5     3134.56     417.4
-54.72    -2.14     3243.2     409.24
-53.08    -0.7     3046.88     416.76
-53.6    -2.6     3183.36     397.44
-56.88    -3.58     3508.16     590.04
-56.28    -1.84     3420.96     423.68
-58.48    -0.78     3723.2     453.8
-54.28    -1.04     3146.08     487.6
-56.64    -2.06     3447.04     469.8
-55.68    -0.26     3327.36     357.64
-54.32    1.16     3240.32     419.44
-54.88    -0.88     3237.44     460.16
-56.24    1.92     3461.76     464.72
-56.64    1.32     3479.68     412.08
-57.92    1.0     3605.76     453.2
-55.96    1.04     3437.92     472.08
-57.12    -2.48     3597.12     429.28
-57.08    3.5     3514.72     503.4
-55.8    -1.38     3346.4     478.2
-52.68    -4.0     3038.24     342.72
-54.96    -0.88     3289.28     399.6
-54.76    0.4     3236.96     480.8
-54.64    0.06     3190.4     335.48
-57.16    3.38     3470.56     436.04
-52.92    -1.88     3020.32     435.12
-56.08    -1.76     3431.68     491.28
-57.0    1.68     3510.56     419.12
-58.52    -3.28     3790.24     440.16
-58.56    2.2     3674.88     445.84
-57.24    -0.9     3517.28     380.92
-55.36    2.9     3356.8     401.32
-56.16    0.76     3415.68     475.76
-55.12    -0.76     3298.56     405.52
-57.56    4.86     3612.0     419.08
-55.64    -2.18     3347.04     419.88
-55.6    -1.82     3383.36     468.84
-54.84    2.94     3268.32     418.52
-56.96    -0.24     3446.08     355.6
-54.72    -0.68     3286.08     397.12
-56.44    2.46     3488.8     455.16
-58.0    -0.16     3626.24     464.32
-53.28    1.8     3130.24     383.28
-53.88    -5.76     3080.8     318.88
-57.2    -0.36     3607.36     407.68
-55.44    -0.3     3309.12     400.52
-56.2    0.5     3507.04     449.96
-57.0    0.2     3513.76     400.48
-55.04    2.84     3295.04     426.8
-53.08    -1.54     3020.0     320.2
-54.64    2.0     3182.4     346.72
-58.44    2.08     3725.6     445.44
-55.76    -1.48     3336.32     462.64
-58.12    1.08     3608.16     423.28
-59.0    -1.54     3698.72     413.4
-55.48    0.14     3348.96     388.2
-54.4    2.46     3185.28     350.44
-55.72    -0.4     3434.08     453.28
-56.84    -0.1     3537.12     468.12
-55.4    0.72     3348.64     398.48
-57.08    2.86     3548.64     454.92
-55.48    -2.82     3345.12     362.44
-53.88    -1.02     3114.08     408.44
-51.04    4.46     2868.8     372.76
-54.36    3.96     3164.64     379.52
-56.28    0.74     3374.56     461.24
-55.12    0.0     3348.8     446.72
-56.52    0.84     3460.0     396.64
-54.84    1.78     3231.84     409.32
-55.56    -2.22     3382.88     509.4
-55.8    -5.08     3329.76     408.56
-55.88    0.5     3384.48     399.8
-56.44    -4.52     3425.76     453.92
-54.64    -2.58     3338.24     397.24
-55.44    -3.98     3330.56     363.16
-56.48    0.18     3508.8     395.16
-57.52    -3.82     3612.8     482.84
-53.76    1.9     3127.36     336.52
-57.28    2.36     3614.72     514.64
-54.04    0.76     3148.0     382.16
-55.52    -0.56     3340.48     418.16
-58.52    1.24     3700.96     544.88
-57.12    -1.0     3597.44     463.6
-54.48    -0.36     3217.28     407.12
-52.6    1.18     3041.76     348.36
-54.52    -2.22     3232.8     337.8
-56.72    0.62     3603.84     494.76
-54.6    -0.38     3202.08     463.8
-58.12    -3.56     3684.0     544.24
-56.88    -3.84     3533.76     466.08
-57.56    1.06     3609.44     379.32
-57.12    1.36     3548.16     514.32
-56.84    -0.34     3545.76     453.08
-54.68    3.56     3279.2     371.12
-54.24    2.38     3142.08     395.56
-56.32    0.52     3398.4     418.64
-58.04    0.8     3702.88     512.8
-56.32    3.44     3483.84     425.52
-55.04    -3.16     3309.44     462.56
-58.56    3.58     3689.92     520.04
-51.2    -0.98     2932.48     319.4
-56.76    -0.1     3500.96     399.48
-55.84    -2.4     3403.52     401.04
-54.4    -0.04     3209.92     413.04
-54.84    0.62     3267.68     443.96
-56.56    1.34     3584.64     459.56
-55.12    -2.68     3338.56     457.28
-54.52    -1.32     3213.92     429.6
-55.16    0.62     3357.6     454.6
-55.56    4.82     3389.92     488.2
-56.4    -1.82     3529.92     329.08
-57.32    3.54     3582.56     511.64
-56.56    1.28     3471.04     437.6
-55.64    1.2     3285.92     426.08
-56.52    2.88     3457.12     504.4
-55.28    1.52     3382.4     515.84
-57.72    1.38     3675.04     559.24
-55.52    0.82     3391.36     361.08
-56.0    2.54     3472.96     426.2
-56.92    -0.76     3473.44     387.2
-56.2    -0.6     3460.32     538.48
-55.96    -2.48     3455.52     411.28
-54.2    2.92     3190.56     335.76
-56.28    -0.46     3559.52     416.28
-55.76    1.4     3468.48     430.24
-53.84    -0.52     3220.8     420.32
-57.68    2.58     3589.44     396.68
-60.2    0.08     3842.72     434.96
-55.52    -2.5     3344.0     443.16
-58.32    -1.44     3728.32     526.32
-54.4    1.74     3280.64     442.52
-57.16    4.14     3553.76     474.84
-54.4    0.78     3217.6     446.68
-54.52    1.38     3163.36     356.92
-57.32    -3.76     3618.72     460.64
-54.24    1.16     3139.84     401.92
-56.64    -1.36     3446.72     396.08
-55.68    -3.3     3436.48     435.64
-56.24    -1.72     3433.28     437.12
-55.8    1.3     3426.72     391.64
-55.12    -1.18     3285.12     460.04
-58.04    1.66     3619.36     532.92
-55.16    0.88     3305.44     377.6
-55.36    -0.86     3318.4     380.44
-56.64    2.24     3492.8     399.44
-53.6    2.44     3092.48     315.28
-54.64    4.14     3235.84     379.48
-55.48    -0.94     3321.12     431.24
-55.2    -1.24     3374.4     473.28
-54.6    3.2     3228.64     348.4
-55.04    2.02     3296.32     524.92
-55.12    5.26     3263.36     406.04
-59.0    0.98     3725.6     469.64
-56.8    -0.86     3514.56     391.8
-57.24    0.24     3599.52     419.04
-57.36    2.1     3674.56     491.88
-54.32    1.04     3277.76     370.24
-54.12    2.68     3346.08     525.84
-57.16    0.92     3546.4     461.12
-57.2    1.94     3496.96     362.6
-57.4    -1.14     3555.36     421.16
-57.48    -1.0     3563.36     490.4
-54.72    -0.82     3272.96     382.92
-53.76    1.56     3138.56     434.24
-52.52    2.24     3068.0     314.88
-56.72    1.48     3430.08     515.36
-54.8    -6.56     3336.0     412.24
-56.8    1.54     3555.84     428.04
-58.16    2.36     3636.16     360.08
-53.2    3.86     3107.2     464.44
-53.96    -0.36     3181.6     334.56
-55.76    1.34     3383.68     414.28
-57.76    -1.42     3585.28     415.72
-55.12    0.92     3254.08     333.2
-52.72    -1.18     3008.0     372.04
-57.32    -2.62     3606.24     447.56
-56.16    -2.14     3454.4     323.08
-52.64    -1.2     3040.0     388.56
-56.16    -1.8     3371.52     448.88
-55.44    0.74     3303.04     398.04
-56.24    -3.7     3469.44     523.48
-57.04    -0.42     3584.32     435.8
-56.4    0.16     3435.52     396.16
-57.04    -2.48     3521.6     338.32
-56.48    -0.06     3478.08     452.68
-57.8    1.42     3698.08     481.56
-56.28    -2.08     3478.56     390.8
-56.52    -0.8     3439.2     373.12
-53.16    -3.16     3036.96     411.6
-56.68    2.26     3534.88     533.96
-58.56    -1.44     3673.6     474.56
-57.56    -5.06     3564.64     440.2
-57.92    -2.74     3681.6     538.12
-56.92    -1.02     3533.6     454.6
-56.88    -0.88     3462.4     578.56
-54.84    2.54     3279.84     399.56
-53.52    0.7     3127.68     336.36
-57.12    -2.14     3506.88     416.6
-55.64    -3.38     3353.44     555.4
-56.48    -2.1     3488.0     400.68
-55.12    -2.56     3303.04     318.96
-55.84    -2.74     3339.52     395.32
-53.72    -0.26     3111.2     419.8
-54.28    -0.08     3190.88     460.4
-56.16    0.26     3416.0     417.0
-54.24    -1.56     3124.8     278.96
-52.76    -1.74     3072.16     344.52
-55.04    1.12     3227.52     418.32
-56.92    -1.78     3525.92     463.0
-56.96    2.84     3623.68     452.88
-56.0    3.98     3366.72     524.04
-54.28    0.68     3275.04     390.48
-54.36    1.14     3154.72     471.48
-58.0    2.34     3666.56     451.88
-56.64    2.94     3506.24     320.04
-52.84    3.24     3178.08     436.24
-55.36    -1.46     3342.08     371.8
-52.64    2.72     3004.16     330.88
-53.04    -0.7     3046.08     407.8
-55.0    -1.6     3250.72     493.36
-57.36    -2.42     3526.4     377.8
-57.36    3.66     3540.8     462.12
-55.4    3.24     3370.08     416.32
-57.68    0.44     3595.2     514.72
-55.04    0.04     3352.0     460.08
-60.92    0.4     3933.6     498.56
-55.12    -0.14     3317.76     463.64
-56.6    0.34     3501.92     398.36
-53.64    -3.32     3140.0     367.36
-55.84    -0.28     3328.96     437.04
-57.56    -2.9     3537.44     535.48
-57.96    -0.76     3652.96     409.28
-55.28    -0.08     3256.96     431.28
-55.68    -1.6     3448.32     349.2
-58.64    -1.66     3739.2     537.64
-58.08    2.76     3721.92     669.84
-56.52    0.76     3428.0     450.24
-53.8    1.38     3121.12     453.96
-54.36    -0.94     3197.92     418.44
-54.72    1.36     3333.12     437.92
-54.56    -2.54     3225.92     431.48
-52.08    0.04     2921.92     299.92
-57.0    -0.62     3475.36     518.44
-57.6    -0.94     3570.88     456.68
-53.12    1.64     3164.48     442.48
-53.12    1.5     3098.56     367.88
-52.68    -2.2     2972.32     399.6
-54.84    1.44     3288.16     399.36
-56.8    2.82     3552.96     455.88
-57.76    -0.72     3533.12     378.48
-57.12    0.52     3566.72     533.44
-56.76    2.52     3486.88     369.84
-57.84    0.24     3612.16     540.32
-55.28    0.0     3313.28     320.08
-54.2    1.48     3140.64     497.52
-56.12    0.84     3433.44     481.84
-57.24    1.08     3502.56     462.72
-53.72    -3.98     3101.6     401.64
-55.24    -1.58     3270.56     395.16
-55.12    1.32     3303.36     407.68
-53.4    -1.16     3224.16     399.52
-57.04    0.18     3556.48     427.32
-53.76    3.7     3122.88     379.4
-53.0    1.4     3011.04     286.8
-58.28    -3.1     3621.6     509.72
-55.84    7.5     3476.48     597.56
-54.16    -1.16     3198.4     403.28
-56.8    2.7     3514.88     367.4
-53.72    -4.2     3168.8     482.16
-54.8    0.88     3198.08     423.92
-54.48    -3.12     3261.12     334.16
-58.52    0.52     3683.68     439.6
-56.6    1.4     3494.56     496.56
-56.16    -1.62     3363.84     490.84
-58.92    1.98     3725.6     426.92
-53.36    4.06     3116.16     422.84
-56.12    1.56     3415.84     444.16
-53.84    0.98     3217.92     450.12
-52.08    -1.78     3016.32     333.8
-57.24    0.48     3600.16     452.56
-53.16    -1.72     3048.48     568.56
-58.28    -1.7     3719.2     438.92
-56.4    -0.16     3454.4     318.08
-54.44    -3.84     3247.84     461.92
-56.76    0.8     3447.52     504.08
-55.68    0.08     3325.12     426.8
-54.6    0.3     3287.2     426.84
-55.24    3.68     3299.04     439.28
-57.68    -1.1     3614.08     532.92
-52.6    2.54     3027.68     370.12
-57.84    2.34     3610.24     422.28
-56.12    -3.98     3376.48     421.88
-56.92    0.12     3614.88     427.76
-58.52    1.74     3661.92     451.96
-53.48    1.2     3165.28     457.12
-56.44    -0.08     3446.88     508.08
-55.96    -1.44     3389.6     419.04
-55.52    1.54     3288.32     386.12
-55.64    -1.6     3356.32     401.92
-55.88    -0.94     3345.44     366.12
-55.28    -2.98     3238.08     473.4
-55.48    -1.02     3408.16     447.96
-55.64    0.52     3381.28     429.36
-57.48    3.22     3580.32     395.96
-54.48    -1.14     3199.68     391.24
-54.84    1.56     3310.24     342.4
-55.56    1.66     3366.88     391.96
-54.96    0.54     3331.84     510.44
-55.36    3.02     3323.52     380.68
-53.84    -1.16     3103.36     334.8
-56.76    -2.32     3509.6     375.92
-57.24    -1.22     3545.44     432.92
-55.36    0.76     3326.72     403.6
-56.16    -2.46     3395.84     436.44
-55.72    1.22     3419.68     543.64
-58.2    -1.04     3706.4     572.88
-54.76    -0.42     3299.36     508.44
-53.44    1.42     3113.28     446.12
-54.48    3.14     3221.12     404.12
-55.24    -4.04     3294.24     413.6
-53.8    -1.62     3200.48     457.48
-55.92    -2.04     3430.08     564.08
-57.16    -5.42     3557.6     483.0
-55.44    3.52     3400.96     439.84
-56.24    -0.38     3426.24     397.4
-54.6    2.86     3264.16     361.72
-54.88    0.96     3287.68     311.68
-57.2    -1.86     3579.84     446.44
-56.8    -0.06     3528.0     397.96
-55.48    2.44     3410.4     388.8
-57.12    -0.26     3449.28     369.88
-53.92    -1.86     3217.6     429.16
-57.56    -3.8     3581.92     416.64
-53.44    0.94     3112.96     406.84
-54.84    -2.78     3259.68     445.08
-52.76    -2.26     2982.88     407.32
-56.96    1.04     3446.4     406.32
-55.08    -1.0     3293.28     406.24
-55.72    -0.66     3356.0     457.8
-55.84    1.88     3426.24     409.28
-54.96    1.16     3312.96     389.68
-54.08    0.82     3185.28     371.0
-58.76    3.08     3723.04     530.72
-54.52    4.38     3227.68     390.52
-55.68    -3.34     3370.24     459.24
-54.92    3.22     3251.68     519.0
-55.56    2.92     3390.56     397.76
-54.56    -1.96     3297.92     325.52
-53.64    -0.36     3172.0     441.04
-57.84    -2.04     3641.28     515.44
-56.4    3.32     3544.0     464.4
-55.68    0.7     3359.68     379.72
-57.52    -0.6     3612.8     375.6
-53.72    -3.44     3164.96     434.8
-54.64    -2.8     3303.68     345.68
-56.04    -0.44     3395.36     364.4
-54.28    0.94     3281.12     400.76
-56.84    4.8     3510.24     448.88
-57.0    2.62     3532.32     469.8
-54.88    1.74     3259.84     421.24
-54.16    0.5     3248.0     479.96
-57.44    -2.2     3683.2     572.64
-56.04    3.4     3477.92     445.52
-54.44    -0.54     3227.36     395.16
-55.52    -2.0     3363.84     366.64
-54.32    -0.66     3211.52     448.2
-57.72    0.52     3641.12     439.52
-53.12    3.54     3050.56     466.92
-54.8    -0.44     3236.48     427.52
-54.76    -0.5     3294.24     327.64
-56.68    -2.84     3519.84     394.48
-52.36    -4.02     2995.68     357.56
-55.24    1.34     3263.84     401.88
-53.6    3.08     3148.8     359.12
-55.64    1.26     3306.08     446.76
-52.6    0.06     3053.6     390.52
-56.12    -0.06     3437.92     456.28
-56.16    -2.0     3429.76     325.68
-55.84    1.3     3367.68     462.04
-56.0    -0.54     3437.12     354.92
-56.4    0.86     3419.52     476.6
-56.0    0.4     3358.08     404.08
-53.8    0.06     3079.2     384.44
-55.48    -2.1     3312.16     353.16
-55.96    -1.66     3367.2     372.92
-54.76    4.44     3197.6     414.96
-54.68    2.64     3195.04     404.4
-55.04    1.2     3318.4     429.44
-57.48    -6.74     3632.8     557.08
-56.0    4.82     3493.76     413.4
-55.48    -0.04     3327.2     424.72
-57.52    4.04     3585.28     454.64
-56.76    -2.48     3458.08     432.56
-56.04    0.18     3433.44     474.84
-57.08    -0.08     3558.88     366.4
-54.36    -1.9     3226.4     432.12
-53.52    -0.44     3113.6     404.4
-54.0    -0.66     3228.8     400.36
-55.2    2.12     3270.4     340.24
-55.88    -2.16     3468.32     399.76
-56.72    -0.64     3527.36     415.84
-58.28    1.98     3679.84     417.64
-57.64    -1.48     3567.84     525.36
-55.72    4.14     3395.68     468.28
-55.36    -5.2     3334.4     300.88
-55.4    0.62     3341.28     343.72
-59.08    1.7     3804.32     555.08
-52.6    -3.78     2958.56     331.24
-57.0    0.0     3529.76     404.56
-56.4    -4.02     3409.92     428.52
-54.6    -0.36     3221.28     449.36
-55.24    -2.12     3283.36     363.12
-51.6    -2.7     2901.76     409.08
-54.0    -4.62     3163.52     367.64
-57.68    -0.72     3699.52     476.0
-55.12    2.98     3270.4     407.16
-59.12    2.0     3727.68     493.12
-56.44    1.26     3503.84     448.68
-55.84    2.6     3352.96     405.68
-53.2    -0.3     3136.64     356.84
-56.88    1.64     3554.24     537.6
-58.08    -0.84     3672.64     374.24
-55.24    0.48     3320.48     374.4
-56.36    1.78     3454.88     389.08
-58.0    -0.12     3592.32     500.56
-54.68    2.34     3221.92     423.32
-56.12    0.82     3445.28     390.12
-56.72    -2.48     3494.08     349.6
-54.4    -0.22     3193.92     444.04
-55.96    -2.2     3353.12     430.96
-56.72    -0.4     3420.16     437.84
-59.76    -1.38     3862.72     455.56
-54.04    -3.04     3162.72     384.4
-56.8    -0.8     3569.6     517.84
-56.2    -2.12     3453.92     555.36
-54.72    2.28     3268.8     418.16
-53.08    -0.22     3055.52     319.4
-56.36    -4.72     3440.16     404.8
-56.52    -1.7     3479.2     473.56
-55.56    -2.76     3307.36     472.88
-55.24    1.94     3307.04     428.2
-56.72    1.92     3515.2     512.8
-56.48    -3.66     3410.24     440.44
-55.52    -1.28     3341.76     518.48
-51.64    2.56     2996.32     288.72
-57.92    -1.42     3640.64     521.96
-55.24    0.62     3342.24     460.04
-55.08    -0.46     3333.6     445.88
-54.28    3.7     3146.08     379.24
-54.48    2.16     3321.6     496.88
-53.92    5.08     3242.56     433.04
-52.76    -1.02     3032.48     387.0
-55.6    0.48     3361.92     446.56
-55.12    -0.32     3391.68     370.08
-55.96    0.76     3467.36     507.12
-53.08    -2.68     3094.88     375.2
-55.36    -1.98     3306.88     396.52
-56.24    0.8     3476.8     433.84
-55.08    -0.68     3294.24     450.88
-57.84    -2.54     3666.56     491.96
-55.36    1.22     3320.0     393.8
-57.4    0.44     3639.52     462.32
-59.24    -0.3     3778.4     464.6
-53.4    -2.82     3101.6     449.56
-56.28    1.22     3452.96     473.56
-57.28    2.36     3518.72     427.6
-52.48    -0.76     2992.64     373.6
-58.56    3.92     3721.6     545.92
-52.76    -4.02     3045.92     384.2
-55.44    -3.64     3415.68     395.6
-53.24    3.64     3075.68     396.8
-55.6    2.64     3374.08     435.28
-56.08    3.28     3461.12     420.8
-56.92    -3.9     3491.04     383.8
-56.96    -4.82     3535.04     428.36
-55.72    -0.22     3385.76     457.56
-55.8    0.1     3404.64     380.12
-53.88    4.36     3177.12     434.72
-55.76    0.56     3367.04     426.08
-53.36    -0.94     3132.16     387.16
-55.44    2.56     3359.68     358.08
-52.84    2.36     3027.36     341.52
-55.6    -1.38     3394.56     416.36
-53.28    3.76     3107.2     438.72
-54.04    -1.68     3228.96     415.44
-55.44    -1.84     3386.88     389.12
-56.8    -2.2     3477.76     444.0
-51.72    -1.84     2983.84     353.68
-58.24    1.14     3665.92     464.44
-56.28    3.22     3418.4     493.56
-55.76    0.74     3415.68     468.2
-54.88    0.18     3230.08     459.64
-56.16    -3.34     3423.04     520.44
-56.6    -3.62     3521.76     406.36
-54.68    -2.88     3239.2     469.68
-57.72    0.3     3661.92     533.24
-56.32    1.86     3468.16     336.6
-52.92    -1.56     2980.0     415.28
-55.04    -2.18     3354.56     429.8
-57.4    -0.14     3571.04     540.68
-57.84    2.84     3632.32     402.96
-55.16    -2.5     3306.72     385.08
-54.2    -0.44     3151.84     391.44
-55.28    -1.08     3376.32     421.04
-56.4    -1.78     3433.6     406.52
-56.2    -2.38     3431.2     412.68
-55.2    1.54     3321.28     419.72
-53.96    1.3     3184.48     350.76
-52.48    1.2     3022.72     518.0
-54.28    -1.4     3232.8     412.24
-55.44    -0.38     3305.6     447.64
-55.32    4.62     3300.64     453.0
-55.56    -0.56     3367.2     446.8
-58.48    3.62     3642.24     493.0
-56.4    3.54     3400.32     475.8
-55.2    2.8     3377.28     478.72
-53.24    3.14     3030.24     379.72
-55.64    -2.98     3356.0     392.12
-54.44    0.52     3240.48     381.36
-56.04    -1.08     3375.52     388.08
-57.44    -0.62     3566.08     391.56
-53.52    0.1     3186.88     410.92
-55.08    -3.8     3302.56     477.04
-57.52    -2.82     3555.2     384.68
-57.04    0.7     3590.72     433.24
-54.52    1.0     3286.24     459.84
-55.72    -1.7     3350.24     420.12
-55.88    0.78     3351.2     399.56
-57.36    1.3     3583.68     382.6
-54.72    2.5     3281.28     363.4
-54.52    0.12     3213.28     424.16
-57.48    3.76     3531.68     467.52
-55.52    -4.3     3367.36     471.96
-58.68    -4.5     3730.08     484.44
-57.0    -0.12     3485.6     459.76
-56.32    1.3     3437.44     333.4
-55.24    1.3     3337.76     419.48
-53.64    -2.4     3086.88     420.56
-54.72    1.66     3324.48     391.48
-57.68    -1.56     3625.6     448.64
-54.84    -1.08     3196.96     434.96
-56.92    -0.22     3481.44     441.56
-56.76    -2.62     3599.2     487.0
-55.32    -0.9     3332.32     437.0
-59.24    2.16     3795.04     565.68
-58.56    1.44     3730.24     475.12
-57.16    1.84     3512.16     553.44
-58.12    -2.28     3660.64     463.2
-54.28    2.06     3255.84     474.84
-57.16    -2.24     3571.36     508.88
-55.2    -0.46     3421.12     436.52
-57.84    -3.04     3629.76     519.92
-55.88    1.98     3393.12     450.04
-55.12    -0.8     3340.8     380.48
-55.28    -0.58     3416.64     396.68
-58.28    -0.96     3643.68     336.8
-54.28    -0.12     3274.08     392.72
-51.48    1.56     2876.32     415.12
-55.24    -1.84     3375.52     452.64
-54.88    -1.02     3249.6     351.96
