# L=8, T=4.0 
# E      M        E^2        M^2
-40.8    -2.4     1785.6     187.2
-33.2    1.8     1361.6     266.8
-40.8    -11.6     2025.6     337.6
-39.6    2.2     1729.6     374.0
-35.2    -1.6     1283.2     390.4
-31.6    -0.4     1140.8     155.2
-36.8    -2.0     1536.0     196.0
-41.2    5.4     1742.4     345.2
-39.6    -5.8     1729.6     316.4
-45.6    -4.8     2377.6     512.8
-39.6    4.2     1793.6     235.6
-29.2    1.6     891.2     141.6
-33.2    -10.0     1291.2     348.0
-36.4    -8.6     1531.2     261.2
-36.4    -5.0     1620.8     240.4
-36.0    -0.8     1555.2     293.6
-34.0    -9.2     1345.6     347.2
-33.2    -2.0     1233.6     228.8
-36.4    -1.8     1528.0     345.2
-34.4    9.0     1561.6     490.0
-27.6    5.8     1000.0     172.4
-34.8    2.8     1403.2     198.4
-42.0    1.0     1870.4     178.0
-30.4    -6.4     1084.8     155.2
-28.0    -0.4     956.8     103.2
-32.4    -4.0     1329.6     137.6
-34.8    6.0     1505.6     248.8
-37.6    -13.6     1616.0     428.0
-40.4    -6.4     1771.2     473.6
-37.6    -0.8     1529.6     272.0
-40.8    6.0     1760.0     263.2
-34.0    -5.2     1291.2     222.4
-37.2    1.6     1499.2     445.6
-42.0    -3.2     1828.8     375.2
-38.4    -3.4     1606.4     266.8
-35.2    -5.2     1494.4     159.2
-38.4    6.2     1648.0     275.6
-31.2    -3.8     1100.8     226.8
-39.6    -4.8     1899.2     94.4
-40.4    -0.4     1774.4     180.0
-38.0    2.6     1585.6     418.0
-36.0    7.8     1449.6     344.4
-30.8    -5.2     1128.0     157.6
-32.0    -0.4     1097.6     198.4
-26.8    -2.0     872.0     291.2
-32.0    -3.4     1276.8     223.6
-34.8    -8.6     1400.0     396.4
-31.2    -0.4     1148.8     162.4
-34.8    7.0     1361.6     326.8
-29.6    2.4     1203.2     97.6
-27.2    0.4     844.8     37.6
-27.6    -4.6     945.6     120.4
-39.6    1.2     1691.2     160.0
-36.0    -1.4     1472.0     262.8
-37.6    -7.8     1622.4     270.0
-43.2    -5.6     1968.0     217.6
-46.4    1.4     2313.6     538.0
-40.8    7.6     1776.0     200.8
-42.4    2.8     2009.6     450.4
-38.4    10.8     1574.4     365.6
-39.2    0.2     1686.4     330.8
-38.0    2.4     1563.2     444.0
-40.0    5.6     1788.8     383.2
-36.0    -8.0     1507.2     434.4
-34.8    -4.2     1470.4     341.2
-43.2    -14.6     2060.8     367.6
-37.2    -2.0     1755.2     319.2
-39.2    9.2     1696.0     250.4
-41.6    -3.0     1808.0     295.6
-41.2    7.8     2084.8     476.4
-32.4    1.8     1118.4     148.4
-36.4    -2.8     1508.8     216.0
-37.6    -2.0     1475.2     369.6
-38.8    3.4     1761.6     215.6
-38.8    6.8     1550.4     149.6
-30.8    0.8     1211.2     256.0
-44.0    12.4     2083.2     345.6
-35.2    7.2     1356.8     309.6
-35.2    -4.6     1385.6     211.6
-26.0    1.6     747.2     180.8
-35.2    9.2     1596.8     377.6
-36.0    12.8     1552.0     360.0
-29.2    8.0     1009.6     122.4
-36.4    -9.2     1435.2     240.0
-42.0    -13.2     1876.8     408.0
-32.8    0.2     1225.6     158.8
-34.8    -3.6     1342.4     175.2
-29.6    6.6     1081.6     192.4
-32.8    -2.6     1158.4     245.2
-40.0    8.8     1660.8     523.2
-36.8    2.8     1510.4     355.2
-30.0    -0.2     1166.4     254.8
-30.0    -2.0     993.6     252.8
-33.6    -2.6     1440.0     282.0
-28.8    -0.6     912.0     126.8
-35.2    0.0     1334.4     268.0
-39.2    5.0     1862.4     650.0
-35.2    -5.4     1452.8     264.4
-37.6    -0.4     1587.2     448.0
-40.4    0.6     1870.4     395.6
-35.6    -2.6     1707.2     465.2
-34.0    2.0     1419.2     229.6
-29.6    -2.0     1097.6     255.2
-37.2    -0.6     1592.0     237.2
-31.2    4.4     1100.8     164.0
-30.8    3.4     1000.0     261.2
-30.0    -0.2     1028.8     187.6
-36.4    3.8     1505.6     312.4
-33.6    -4.0     1283.2     168.8
-35.6    0.2     1419.2     246.0
-34.0    -6.4     1259.2     264.8
-39.2    -2.8     1619.2     208.0
-42.0    10.6     2104.0     383.6
-34.8    1.4     1320.0     217.2
-34.0    2.6     1291.2     244.4
-29.2    1.6     936.0     196.8
-38.8    1.0     1720.0     346.8
-29.6    0.4     947.2     277.6
-32.8    0.6     1177.6     206.8
-36.0    -3.8     1452.8     213.2
-38.4    -4.2     1696.0     428.4
-38.4    -4.0     1632.0     276.8
-36.0    3.2     1529.6     343.2
-37.2    5.2     1518.4     282.4
-34.0    -1.6     1243.2     308.0
-38.0    5.0     1566.4     364.4
-29.6    -0.8     985.6     144.8
-36.0    5.6     1459.2     327.2
