# L=8, T=4.0 
# E      M        E^2        M^2
-37.24    -3.48     1598.88     311.76
-33.32    1.18     1339.68     218.2
-38.16    -2.34     1604.48     317.08
-33.96    -1.88     1344.8     254.16
-35.48    -0.64     1467.36     217.92
-38.92    0.18     1713.44     364.68
-38.32    3.62     1650.88     279.16
-34.2    0.56     1344.48     246.56
-33.44    1.46     1299.2     315.4
-34.08    0.1     1381.12     291.88
-35.68    0.52     1442.56     260.0
-35.2    0.28     1385.28     283.44
-36.0    1.8     1521.28     318.72
-34.24    0.76     1295.36     240.88
-34.88    2.46     1347.2     278.68
-35.68    -0.2     1462.72     247.12
-34.36    1.98     1360.48     272.68
-35.12    -3.0     1385.28     219.92
-34.8    -0.74     1404.8     236.36
-36.48    0.76     1504.96     284.64
-35.8    -0.1     1459.36     253.72
-36.52    -4.24     1557.6     282.96
-35.76    -1.48     1521.92     294.8
-36.28    -0.66     1547.68     278.6
-34.48    0.06     1334.08     232.84
-35.6    1.46     1421.44     273.88
-35.56    -0.04     1444.0     261.28
-32.88    -0.8     1254.72     218.0
-38.56    -1.92     1678.72     375.52
-34.96    -0.52     1408.0     298.4
-35.52    -0.18     1495.36     362.28
-33.32    -1.82     1240.16     223.72
-36.92    -0.06     1520.16     281.08
-35.64    2.66     1436.64     260.28
-35.4    -0.26     1448.8     332.76
-35.52    0.16     1426.24     296.0
-35.28    1.62     1414.08     243.0
-34.24    1.6     1344.96     280.72
-33.52    0.52     1275.2     272.08
-33.48    -0.7     1293.28     258.76
-33.8    -1.78     1308.32     216.36
-36.16    1.24     1460.16     265.68
-36.52    -1.08     1523.36     301.68
-33.44    -0.44     1290.24     243.68
-36.64    0.62     1537.92     272.04
-36.2    -2.32     1515.36     259.44
-36.0    -2.36     1479.68     285.68
-35.96    0.88     1472.8     208.4
-36.4    -1.24     1538.88     263.6
-36.6    0.3     1534.56     281.0
-35.12    -0.18     1391.36     305.4
-37.08    -2.14     1558.56     317.16
-34.68    0.28     1381.6     239.12
-32.44    -2.42     1196.32     255.88
-34.56    -0.14     1418.24     282.28
-36.4    -1.04     1528.96     235.04
-36.36    -1.96     1477.92     260.48
-33.44    -2.1     1266.24     268.76
-34.68    0.82     1362.08     224.2
-35.0    2.8     1406.56     256.08
-37.6    0.34     1616.64     260.76
-34.64    -0.1     1380.16     219.48
-39.16    2.68     1695.2     360.72
-33.68    0.5     1320.96     243.0
-36.4    -2.32     1481.28     223.68
-35.32    -2.98     1428.64     323.88
-34.96    0.82     1402.24     250.44
-36.88    -0.98     1586.56     270.04
-34.28    0.68     1388.96     216.0
-35.36    -0.5     1435.2     272.52
-33.92    2.14     1349.76     263.88
-37.52    3.7     1652.48     327.08
-34.88    -1.16     1437.44     205.36
-36.6    0.54     1510.24     250.44
-36.48    0.24     1518.72     276.32
-36.0    -0.58     1481.28     337.96
-38.0    1.9     1648.64     272.2
-34.92    1.0     1433.44     267.68
-35.84    -2.28     1485.12     305.92
-34.56    1.06     1359.68     278.28
-34.76    0.0     1359.84     265.12
-38.2    -0.48     1635.04     288.08
-34.68    0.06     1374.24     215.4
-37.76    -0.8     1607.36     300.32
-35.04    -1.16     1368.96     197.76
-32.96    -1.62     1234.56     273.0
-37.0    -2.3     1536.48     258.36
-36.76    -0.56     1513.12     276.48
-35.52    -4.52     1443.84     306.08
-35.48    -0.5     1425.12     298.36
-35.04    -0.78     1363.52     231.4
-36.36    1.62     1485.28     218.28
-35.28    -0.08     1405.12     246.08
-38.44    2.96     1654.24     327.84
-34.24    -2.52     1312.96     281.84
-35.48    1.32     1406.24     297.44
-37.08    1.66     1563.68     259.8
-38.44    -3.88     1697.76     347.28
-37.48    -2.64     1610.72     265.2
-36.48    3.34     1495.68     286.04
