# L=6, T=4.0 
# E      M        E^2        M^2
-21.48    0.2     568.16     161.2
-20.4    -0.66     511.36     154.68
-20.84    1.76     555.36     174.56
-20.92    -2.0     562.4     154.32
-21.16    0.52     551.52     179.36
-19.56    -0.44     486.24     127.44
-21.32    1.26     564.32     148.92
-18.96    1.84     463.36     139.68
-20.76    -1.4     539.36     172.96
-20.0    2.54     522.88     124.28
-20.56    -1.7     528.32     179.48
-21.4    0.72     574.88     179.2
-20.72    -0.42     519.68     144.12
-21.0    1.9     540.64     176.2
-19.96    2.84     515.36     158.8
-21.44    -0.38     568.64     172.52
-20.8    1.5     505.28     142.76
-22.44    0.76     648.8     190.48
-20.76    -0.86     530.4     167.96
-21.12    -1.54     552.64     155.72
-21.64    -4.78     577.44     151.8
-21.56    0.22     574.56     147.56
-19.08    0.36     468.64     164.64
-20.48    1.72     523.52     146.4
-22.2    -2.4     616.16     180.24
-19.68    0.54     479.68     137.56
-19.72    1.5     493.28     142.28
-21.04    -0.5     546.24     160.04
-21.36    0.64     538.88     171.6
-20.6    2.0     526.56     160.4
-20.92    2.28     559.52     167.6
-20.84    1.88     541.92     190.72
-21.52    1.32     580.48     160.32
-20.56    -1.46     532.8     162.92
-22.52    2.78     628.32     186.2
-21.0    -0.3     544.8     146.52
-20.28    0.6     503.52     156.08
-19.36    -0.8     484.16     153.6
-20.6    -1.86     518.24     160.84
-20.2    -0.06     532.0     142.84
-20.88    -1.64     544.0     174.72
-19.72    -0.82     496.16     138.76
-20.12    -0.44     531.68     129.68
-18.6    0.62     444.32     141.24
-18.8    -0.5     460.48     143.48
-21.76    -0.3     607.68     183.24
-20.32    0.44     520.0     170.88
-21.48    -1.62     559.84     166.92
-20.56    -1.58     512.32     136.2
-22.76    0.82     631.84     198.6
-21.52    3.12     626.56     181.52
-20.12    -1.88     509.28     162.72
-20.12    -0.86     495.2     146.68
-21.52    -1.04     583.36     168.72
-19.96    -0.78     516.32     154.04
-19.08    0.54     465.76     139.16
-20.8    -1.12     540.8     154.72
-21.04    0.62     534.4     152.44
-19.16    -0.18     466.72     147.96
-20.2    0.14     496.48     122.84
-19.84    0.62     493.12     141.32
-22.44    -0.84     607.52     188.16
-21.36    -1.18     573.12     188.92
-20.28    1.2     549.6     150.4
-17.84    -0.08     410.56     120.8
-20.76    0.32     525.28     129.52
-21.72    1.2     569.44     168.96
-21.28    0.88     564.48     175.12
-19.24    -0.3     515.68     147.8
-19.92    -0.06     465.92     136.04
-21.36    2.08     606.4     180.56
-19.8    -1.4     492.32     130.72
-20.6    -0.66     529.12     141.32
-21.32    -1.66     528.8     163.0
-23.32    -0.6     664.48     208.08
-21.72    2.96     591.84     175.28
-20.04    -0.48     511.52     151.92
-20.48    0.62     504.96     162.6
-20.52    -1.1     500.32     155.8
-24.12    0.0     722.72     202.16
-19.16    -0.48     444.0     122.08
-21.4    -0.22     554.72     152.52
-19.44    1.44     473.28     124.24
-21.16    -0.18     560.16     164.76
-20.96    1.86     550.4     157.56
-19.88    -1.6     503.2     135.36
-20.76    -0.88     546.72     153.68
-21.0    -0.52     549.28     157.6
-20.08    -0.46     488.96     140.6
-20.56    -1.0     509.12     143.84
-20.0    -0.18     488.0     120.84
-19.48    1.06     478.56     142.44
-19.8    -0.92     519.2     130.96
-20.16    0.44     504.0     152.8
-20.28    -0.2     502.24     143.68
-20.6    -1.26     531.04     136.52
-19.8    -0.16     490.08     106.0
-20.56    -2.54     517.76     153.96
-20.16    0.84     504.64     137.68
-19.6    -0.08     485.12     142.0
-19.16    0.58     468.0     133.88
-20.92    -0.38     537.12     181.88
-19.36    -1.2     451.84     122.24
-21.4    0.14     581.28     167.48
-18.24    -0.38     431.68     96.44
-20.16    -0.64     533.76     146.96
-22.16    -0.28     608.32     188.0
-18.52    -1.64     429.28     143.6
-20.08    -0.28     518.72     138.64
-20.4    1.98     513.92     152.76
-21.16    1.96     579.04     147.12
-19.72    -0.8     498.72     136.56
-20.44    -0.52     504.16     156.56
-21.0    2.26     564.0     186.36
-19.36    0.08     461.76     146.0
-20.76    0.24     525.28     154.32
-18.68    -0.14     434.72     114.76
-21.48    -1.14     552.8     146.76
-20.84    -2.0     534.88     136.96
-19.4    3.44     499.68     157.92
-20.28    -1.14     502.88     146.84
-20.12    1.06     508.96     150.44
-20.4    0.4     528.64     154.72
-19.96    0.36     507.04     133.92
-20.0    -3.12     506.56     132.0
-20.36    0.96     522.08     159.2
-17.8    -1.26     417.12     105.4
-21.88    0.34     578.08     159.96
-20.24    -0.1     497.28     138.36
-21.12    -0.54     544.64     150.44
-19.32    1.28     475.36     151.36
-18.32    0.5     438.4     115.24
-20.96    0.4     537.92     149.44
-21.4    -3.88     571.04     170.08
-21.16    0.08     564.0     168.4
-20.6    1.22     539.04     162.6
-19.76    0.08     484.48     127.2
-19.4    -0.44     478.88     160.08
-19.16    -0.12     461.6     117.04
-19.76    -0.86     504.96     141.96
-22.08    0.1     586.88     184.04
-20.68    1.38     569.76     169.8
-19.92    -0.34     488.0     114.6
-19.76    -0.94     490.56     146.04
-21.44    -2.54     588.16     177.08
-20.52    -0.08     538.08     167.84
-21.08    -0.52     567.2     171.84
-21.12    1.02     576.0     162.04
-18.68    0.76     430.88     140.8
-19.32    1.02     458.4     122.44
-21.88    0.18     586.4     157.72
-19.04    1.3     452.48     147.24
-21.16    1.92     572.96     170.16
-18.8    1.34     437.76     151.72
-19.88    -1.72     499.36     126.8
-21.36    0.9     584.96     157.0
-21.44    0.6     571.2     178.96
-20.52    1.56     521.76     159.84
-19.96    -0.68     499.36     154.08
-20.28    0.88     512.16     136.8
-20.44    0.26     528.16     132.36
-19.32    0.26     466.4     149.0
-20.56    0.48     519.36     168.56
-19.36    0.96     498.24     148.08
-19.8    -0.26     501.92     136.84
-22.32    -0.84     629.12     171.92
-20.08    1.68     495.68     148.96
-21.28    0.8     579.2     180.08
-19.36    -0.18     477.44     128.28
-20.52    -2.04     534.88     145.76
-18.48    -1.74     443.84     129.08
-18.92    -1.4     477.28     128.32
-20.48    0.62     531.2     159.24
-20.84    -1.6     530.4     150.4
-20.36    1.18     545.44     145.32
-20.16    -0.36     499.52     147.2
-19.72    -0.16     467.04     125.36
-20.36    0.74     529.44     136.92
-19.08    -0.66     461.92     129.4
-18.88    -1.14     443.2     120.04
-19.72    -1.42     509.92     143.4
-19.8    0.42     496.48     148.12
-19.16    0.28     482.72     161.28
-19.6    0.18     482.88     128.76
-20.36    -2.2     522.4     149.76
-20.32    1.12     514.88     138.16
-20.76    2.34     539.36     181.56
-19.68    -0.96     482.24     147.36
-20.48    -0.82     534.08     144.52
-22.68    3.36     676.32     195.84
-19.92    -0.54     501.76     147.8
-18.84    1.48     454.24     139.04
-18.8    1.52     458.56     141.92
-21.84    -2.74     579.84     156.92
-20.44    -2.42     524.64     135.4
-19.44    0.66     526.72     150.76
-21.16    -0.38     546.08     177.24
-20.96    -2.16     567.36     198.0
-20.28    -0.06     526.56     140.36
-21.2    0.1     559.68     157.16
-21.48    -0.42     583.2     138.36
-20.84    0.6     540.0     167.92
-20.08    -0.98     517.12     173.16
-20.16    -0.82     509.12     156.6
-20.36    1.62     534.56     159.0
-20.76    -0.08     547.36     154.32
-19.24    -0.6     456.48     118.72
-19.84    -0.56     496.96     150.16
-18.92    1.24     467.68     125.2
-21.84    0.24     608.96     168.16
-18.92    -0.2     441.12     121.84
-20.6    1.92     520.8     157.68
-21.16    0.36     548.32     181.44
-21.0    2.42     554.4     166.6
-19.2    0.76     459.52     137.36
-20.0    -0.36     493.76     134.56
-21.68    0.8     584.64     175.52
-19.4    0.08     477.6     147.76
-22.08    0.52     628.48     158.24
-20.2    1.18     524.32     172.76
-19.68    -1.92     483.84     150.72
-18.48    1.44     447.36     138.0
-19.76    1.56     489.28     165.04
-19.48    1.04     485.92     136.4
-22.68    -0.38     631.84     205.48
-20.24    0.72     536.32     153.68
-21.52    0.76     565.76     155.92
-20.36    -0.78     510.56     171.56
-20.68    -1.62     536.48     153.0
-19.84    0.94     523.84     168.84
-19.2    -1.88     449.92     151.28
-21.88    0.98     576.48     197.64
-20.28    -0.66     518.56     143.32
-17.28    0.52     384.32     122.48
-20.64    0.48     521.92     151.04
-20.52    -0.76     506.72     140.64
-20.12    1.24     497.12     139.92
-19.56    1.58     475.04     121.0
-19.36    1.78     442.88     134.2
-20.24    -1.72     530.88     147.44
-21.76    -0.96     565.12     168.0
-20.92    2.36     545.12     178.0
-21.56    0.04     594.72     162.24
-21.28    3.54     540.8     169.4
-20.52    0.58     498.4     131.56
-19.56    -0.06     506.08     154.52
-21.04    -0.66     547.84     169.24
-21.76    1.66     579.52     190.44
-18.96    -2.04     473.92     143.44
-20.72    -1.52     575.68     182.32
-19.64    0.5     503.84     135.64
-21.2    -3.02     568.64     169.64
-19.4    -0.64     506.72     157.6
-20.32    -0.7     519.04     155.0
-19.64    1.3     495.52     148.04
-19.08    -2.2     448.8     131.6
-20.36    -2.86     510.88     169.4
-21.8    0.54     587.04     151.0
-21.52    -1.78     584.64     149.64
-20.16    0.42     497.6     158.6
-20.2    2.36     510.24     146.56
-21.72    -0.56     568.8     160.24
-21.72    1.32     572.0     165.12
-19.48    0.12     479.84     145.04
-21.36    2.2     568.96     159.44
-19.88    1.5     501.92     151.16
-21.2    -0.06     555.84     175.08
-20.0    -1.02     504.0     160.84
-22.0    1.86     605.44     187.08
-20.6    0.24     549.6     171.2
-21.08    -1.6     555.04     164.4
-20.64    -0.4     539.52     140.64
-18.84    -1.28     445.6     126.56
-21.28    1.12     567.04     155.28
-21.08    1.72     544.48     157.12
-20.24    -1.64     499.52     124.56
-22.52    -1.16     615.2     190.16
-21.4    2.0     566.88     142.96
