#L=%d, T=%.2f 
# E     M 
-3784.00 12345.00 
-4708.00 12345.00 
-5548.00 12345.00 
-6088.00 12345.00 
-6580.00 12345.00 
-7048.00 12345.00 
-7504.00 12345.00 
-7744.00 12345.00 
-8104.00 12345.00 
-8384.00 12345.00 
-8568.00 12345.00 
-8824.00 12345.00 
-9040.00 12345.00 
-9316.00 12345.00 
-9552.00 12345.00 
-9784.00 12345.00 
-9988.00 12345.00 
-10104.00 12345.00 
-10240.00 12345.00 
-10356.00 12345.00 
-10476.00 12345.00 
-10612.00 12345.00 
-10704.00 12345.00 
-10808.00 12345.00 
-10860.00 12345.00 
-10944.00 12345.00 
-11020.00 12345.00 
-11120.00 12345.00 
-11212.00 12345.00 
-11276.00 12345.00 
-11344.00 12345.00 
-11428.00 12345.00 
-11536.00 12345.00 
-11632.00 12345.00 
-11656.00 12345.00 
-11772.00 12345.00 
-11824.00 12345.00 
-11860.00 12345.00 
-11932.00 12345.00 
-12036.00 12345.00 
-12084.00 12345.00 
-12152.00 12345.00 
-12208.00 12345.00 
-12240.00 12345.00 
-12316.00 12345.00 
-12372.00 12345.00 
-12448.00 12345.00 
-12484.00 12345.00 
-12540.00 12345.00 
-12568.00 12345.00 
-12616.00 12345.00 
-12668.00 12345.00 
-12692.00 12345.00 
-12740.00 12345.00 
-12756.00 12345.00 
-12792.00 12345.00 
-12832.00 12345.00 
-12888.00 12345.00 
-12932.00 12345.00 
-12932.00 12345.00 
-12972.00 12345.00 
-12988.00 12345.00 
-13024.00 12345.00 
-13084.00 12345.00 
-13080.00 12345.00 
-13076.00 12345.00 
-13144.00 12345.00 
-13152.00 12345.00 
-13188.00 12345.00 
-13248.00 12345.00 
-13288.00 12345.00 
-13300.00 12345.00 
-13356.00 12345.00 
-13368.00 12345.00 
-13420.00 12345.00 
-13396.00 12345.00 
-13432.00 12345.00 
-13484.00 12345.00 
-13532.00 12345.00 
-13560.00 12345.00 
-13608.00 12345.00 
-13624.00 12345.00 
-13624.00 12345.00 
-13640.00 12345.00 
-13644.00 12345.00 
-13676.00 12345.00 
-13700.00 12345.00 
-13708.00 12345.00 
-13724.00 12345.00 
-13708.00 12345.00 
-13748.00 12345.00 
-13760.00 12345.00 
-13772.00 12345.00 
-13776.00 12345.00 
-13784.00 12345.00 
-13800.00 12345.00 
-13824.00 12345.00 
-13848.00 12345.00 
-13852.00 12345.00 
-13892.00 12345.00 
-13908.00 12345.00 
-13904.00 12345.00 
-13908.00 12345.00 
-13920.00 12345.00 
-13928.00 12345.00 
-13924.00 12345.00 
-13944.00 12345.00 
-13956.00 12345.00 
-13944.00 12345.00 
-13948.00 12345.00 
-13968.00 12345.00 
-13956.00 12345.00 
-13976.00 12345.00 
-13988.00 12345.00 
-14000.00 12345.00 
-14016.00 12345.00 
-14040.00 12345.00 
-14068.00 12345.00 
-14088.00 12345.00 
-14088.00 12345.00 
-14088.00 12345.00 
-14128.00 12345.00 
-14172.00 12345.00 
-14208.00 12345.00 
-14216.00 12345.00 
-14228.00 12345.00 
-14256.00 12345.00 
-14284.00 12345.00 
-14292.00 12345.00 
-14304.00 12345.00 
-14308.00 12345.00 
-14344.00 12345.00 
-14336.00 12345.00 
-14340.00 12345.00 
-14356.00 12345.00 
-14392.00 12345.00 
-14428.00 12345.00 
-14432.00 12345.00 
-14444.00 12345.00 
-14472.00 12345.00 
-14496.00 12345.00 
-14520.00 12345.00 
-14540.00 12345.00 
-14568.00 12345.00 
-14572.00 12345.00 
-14572.00 12345.00 
-14600.00 12345.00 
-14604.00 12345.00 
-14628.00 12345.00 
-14656.00 12345.00 
-14680.00 12345.00 
-14680.00 12345.00 
-14688.00 12345.00 
-14696.00 12345.00 
-14720.00 12345.00 
-14720.00 12345.00 
-14740.00 12345.00 
-14756.00 12345.00 
-14760.00 12345.00 
-14768.00 12345.00 
-14788.00 12345.00 
-14784.00 12345.00 
-14796.00 12345.00 
-14776.00 12345.00 
-14768.00 12345.00 
-14788.00 12345.00 
-14788.00 12345.00 
-14792.00 12345.00 
-14816.00 12345.00 
-14808.00 12345.00 
-14824.00 12345.00 
-14816.00 12345.00 
-14820.00 12345.00 
-14868.00 12345.00 
-14904.00 12345.00 
-14908.00 12345.00 
-14904.00 12345.00 
-14900.00 12345.00 
-14896.00 12345.00 
-14900.00 12345.00 
-14896.00 12345.00 
-14932.00 12345.00 
-14948.00 12345.00 
-14940.00 12345.00 
-14952.00 12345.00 
-14948.00 12345.00 
-14940.00 12345.00 
-14940.00 12345.00 
-14956.00 12345.00 
-14964.00 12345.00 
-14984.00 12345.00 
-14992.00 12345.00 
-15000.00 12345.00 
-15008.00 12345.00 
-14996.00 12345.00 
-14988.00 12345.00 
-14964.00 12345.00 
-14992.00 12345.00 
-14992.00 12345.00 
-15028.00 12345.00 
-15040.00 12345.00 
-15052.00 12345.00 
-15052.00 12345.00 
-15076.00 12345.00 
-15084.00 12345.00 
-15100.00 12345.00 
-15124.00 12345.00 
-15112.00 12345.00 
-15128.00 12345.00 
-15132.00 12345.00 
-15156.00 12345.00 
-15140.00 12345.00 
-15148.00 12345.00 
